Year,Round,EventName,Circuit,Driver,Team,Compound,BestLapTime,AirTemp,TrackTemp,Humidity,WindSpeed,Rainfall
2026,2,Chinese Grand Prix,Shanghai,ANT,Mercedes,SOFT,92.064,17.6,30.0,34.2,2.1,False
2026,2,Chinese Grand Prix,Shanghai,BEA,Haas F1 Team,SOFT,93.197,17.7,30.3,35.2,4.5,False
2026,2,Chinese Grand Prix,Shanghai,BOR,Audi,SOFT,93.549,18.0,32.1,33.8,1.1,False
2026,2,Chinese Grand Prix,Shanghai,BOT,Cadillac,SOFT,95.436,18.0,32.2,33.8,1.5,False
2026,2,Chinese Grand Prix,Shanghai,COL,Alpine,SOFT,93.357,17.7,29.9,34.3,2.8,False
2026,2,Chinese Grand Prix,Shanghai,GAS,Alpine,SOFT,92.873,17.6,30.0,34.2,2.1,False
2026,2,Chinese Grand Prix,Shanghai,HAD,Red Bull Racing,SOFT,93.121,17.6,29.6,34.5,2.8,False
2026,2,Chinese Grand Prix,Shanghai,HAM,Ferrari,SOFT,92.415,17.6,30.0,34.2,2.1,False
2026,2,Chinese Grand Prix,Shanghai,HUL,Audi,SOFT,93.354,17.7,29.8,35.3,3.9,False
2026,2,Chinese Grand Prix,Shanghai,LAW,Racing Bulls,SOFT,93.765,17.6,30.3,35.0,2.7,False
2026,2,Chinese Grand Prix,Shanghai,LEC,Ferrari,SOFT,92.428,17.6,30.0,34.2,2.1,False
2026,2,Chinese Grand Prix,Shanghai,LIN,Racing Bulls,SOFT,93.784,17.7,30.3,35.2,4.5,False
2026,2,Chinese Grand Prix,Shanghai,NOR,McLaren,SOFT,92.608,17.7,29.9,34.0,0.7,False
2026,2,Chinese Grand Prix,Shanghai,OCO,Haas F1 Team,SOFT,93.538,17.7,30.3,35.2,4.5,False
2026,2,Chinese Grand Prix,Shanghai,PER,Cadillac,SOFT,96.906,18.0,32.1,33.8,1.1,False
2026,2,Chinese Grand Prix,Shanghai,PIA,McLaren,SOFT,92.55,17.7,29.9,34.0,0.7,False
2026,2,Chinese Grand Prix,Shanghai,RUS,Mercedes,SOFT,92.286,17.7,29.5,34.5,2.3,False
2026,2,Chinese Grand Prix,Shanghai,SAI,Williams,SOFT,94.317,18.0,32.3,34.1,1.9,False
2026,2,Chinese Grand Prix,Shanghai,STR,Aston Martin,SOFT,95.995,18.0,32.1,33.8,1.1,False
2026,2,Chinese Grand Prix,Shanghai,VER,Red Bull Racing,SOFT,93.002,17.6,29.6,34.5,2.8,False
2026,3,Japanese Grand Prix,Suzuka,ALB,Williams,SOFT,91.088,16.5,30.2,50.2,2.2,False
2026,3,Japanese Grand Prix,Suzuka,ALO,Aston Martin,SOFT,92.646,16.5,30.2,50.2,2.2,False
2026,3,Japanese Grand Prix,Suzuka,ANT,Mercedes,SOFT,88.778,16.4,27.5,50.8,1.3,False
2026,3,Japanese Grand Prix,Suzuka,BEA,Haas F1 Team,SOFT,91.09,16.5,30.2,50.2,2.2,False
2026,3,Japanese Grand Prix,Suzuka,BOR,Audi,SOFT,89.99,16.7,28.9,46.1,1.5,False
2026,3,Japanese Grand Prix,Suzuka,BOT,Cadillac,SOFT,92.33,16.6,30.1,46.9,1.0,False
2026,3,Japanese Grand Prix,Suzuka,COL,Alpine,SOFT,90.627,16.7,28.9,46.1,1.5,False
2026,3,Japanese Grand Prix,Suzuka,GAS,Alpine,SOFT,89.691,16.3,26.9,55.8,1.3,False
2026,3,Japanese Grand Prix,Suzuka,HAD,Red Bull Racing,SOFT,89.978,16.4,27.8,51.9,0.8,False
2026,3,Japanese Grand Prix,Suzuka,HAM,Ferrari,SOFT,89.567,16.4,27.8,51.9,0.8,False
2026,3,Japanese Grand Prix,Suzuka,HUL,Audi,SOFT,90.358,16.6,30.1,46.9,1.0,False
2026,3,Japanese Grand Prix,Suzuka,LAW,Racing Bulls,SOFT,90.495,16.7,28.9,46.1,1.5,False
2026,3,Japanese Grand Prix,Suzuka,LEC,Ferrari,SOFT,89.303,16.5,28.7,47.4,2.7,False
2026,3,Japanese Grand Prix,Suzuka,LIN,Racing Bulls,SOFT,90.109,16.7,28.9,46.1,1.5,False
2026,3,Japanese Grand Prix,Suzuka,NOR,McLaren,SOFT,89.409,16.4,27.5,50.8,1.3,False
2026,3,Japanese Grand Prix,Suzuka,OCO,Haas F1 Team,SOFT,90.309,16.6,28.9,46.5,2.2,False
2026,3,Japanese Grand Prix,Suzuka,PER,Cadillac,SOFT,92.206,16.5,30.2,50.2,2.2,False
2026,3,Japanese Grand Prix,Suzuka,PIA,McLaren,SOFT,89.132,16.4,27.5,50.8,1.3,False
2026,3,Japanese Grand Prix,Suzuka,RUS,Mercedes,SOFT,89.076,16.4,27.5,50.8,1.3,False
2026,3,Japanese Grand Prix,Suzuka,SAI,Williams,SOFT,90.927,16.5,30.2,50.2,2.2,False
2026,3,Japanese Grand Prix,Suzuka,STR,Aston Martin,SOFT,92.92,16.6,31.5,53.3,0.9,False
2026,3,Japanese Grand Prix,Suzuka,VER,Red Bull Racing,SOFT,90.262,16.6,28.9,46.5,2.2,False
2026,4,Miami Grand Prix,Miami Gardens,ALB,Williams,SOFT,89.72,33.9,52.3,31.0,3.4,False
2026,4,Miami Grand Prix,Miami Gardens,ALO,Aston Martin,SOFT,91.098,33.8,53.1,32.1,3.3,False
2026,4,Miami Grand Prix,Miami Gardens,ANT,Mercedes,SOFT,87.798,33.9,51.0,29.0,4.5,False
2026,4,Miami Grand Prix,Miami Gardens,BEA,Haas F1 Team,SOFT,89.34,33.8,53.1,32.1,3.3,False
2026,4,Miami Grand Prix,Miami Gardens,BOR,Audi,SOFT,93.737,33.8,51.7,31.3,3.6,False
2026,4,Miami Grand Prix,Miami Gardens,BOT,Cadillac,SOFT,91.629,33.8,51.7,31.3,3.6,False
2026,4,Miami Grand Prix,Miami Gardens,COL,Alpine,SOFT,88.762,33.9,51.0,29.0,4.5,False
2026,4,Miami Grand Prix,Miami Gardens,GAS,Alpine,SOFT,88.81,34.0,50.2,29.1,3.8,False
2026,4,Miami Grand Prix,Miami Gardens,HAD,Red Bull Racing,SOFT,88.789,33.9,51.0,29.0,4.5,False
2026,4,Miami Grand Prix,Miami Gardens,HAM,Ferrari,SOFT,88.319,34.0,50.2,29.1,3.8,False
2026,4,Miami Grand Prix,Miami Gardens,HUL,Audi,SOFT,89.439,34.1,51.5,28.8,3.1,False
2026,4,Miami Grand Prix,Miami Gardens,LAW,Racing Bulls,SOFT,89.499,34.1,51.5,28.8,3.1,False
2026,4,Miami Grand Prix,Miami Gardens,LEC,Ferrari,SOFT,88.143,33.9,51.0,29.0,4.5,False
2026,4,Miami Grand Prix,Miami Gardens,LIN,Racing Bulls,SOFT,90.133,33.8,51.7,31.3,3.6,False
2026,4,Miami Grand Prix,Miami Gardens,NOR,McLaren,SOFT,88.183,33.9,51.0,29.0,4.5,False
2026,4,Miami Grand Prix,Miami Gardens,OCO,Haas F1 Team,SOFT,89.772,34.1,51.5,28.8,3.1,False
2026,4,Miami Grand Prix,Miami Gardens,PER,Cadillac,SOFT,91.967,33.8,51.7,31.3,3.6,False
2026,4,Miami Grand Prix,Miami Gardens,PIA,McLaren,SOFT,88.332,34.1,51.5,28.8,3.1,False
